DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
01/01/2010 00:00,,,,35.6,1017.0,,
01/01/2010 01:00,,,,36.1,1016.8,,
01/01/2010 02:00,,,,,,,
01/01/2010 03:00,,,,35.6,1016.1,,
01/01/2010 04:00,,,,36.0,1015.4,,
01/01/2010 05:00,,,,36.1,1014.8,,
01/01/2010 06:00,,,,35.8,1014.5,,
01/01/2010 07:00,,,,36.3,1014.1,,
01/01/2010 08:00,,,,36.1,1013.9,,
01/01/2010 09:00,,,,35.6,1013.7,,
01/01/2010 10:00,,,,35.2,1013.3,,
01/01/2010 11:00,,,,35.1,1013.6,,
01/01/2010 12:00,,,,35.1,1013.4,,
01/01/2010 13:00,,,,,,,
01/01/2010 14:00,,,,,,,
01/01/2010 15:00,,,,36.0,1013.1,,
01/01/2010 16:00,,,,37.6,1011.9,,
01/01/2010 17:00,,,,38.8,1011.3,,
01/01/2010 18:00,,,,39.4,1010.4,,
01/01/2010 19:00,,,,39.7,1009.9,,
01/01/2010 20:00,,,,40.5,1009.8,,
01/01/2010 21:00,,,,40.3,1009.5,,
01/01/2010 22:00,,,,39.4,1009.3,,
01/01/2010 23:00,,,,39.2,1009.0,,
01/02/2010 00:00,,,,38.7,1008.7,,
01/02/2010 01:00,,,,38.7,1008.2,,
01/02/2010 02:00,,,,38.3,1007.6,,
01/02/2010 03:00,,,,37.4,1007.5,,
01/02/2010 04:00,,,,36.3,1007.0,,
01/02/2010 05:00,,,,34.2,1006.7,,
01/02/2010 06:00,,,,33.3,1006.1,,
01/02/2010 07:00,,,,32.2,1006.1,,
01/02/2010 08:00,,,,30.9,1006.4,,
01/02/2010 09:00,,,,30.9,1006.2,,
01/02/2010 10:00,,,,29.8,1006.0,,
01/02/2010 11:00,,,,29.1,1005.8,,
01/02/2010 12:00,,,,28.8,1005.4,,
01/02/2010 13:00,,,,29.5,1005.5,,
01/02/2010 14:00,,,,30.6,1005.6,,
01/02/2010 15:00,,,,30.9,1005.5,,
01/02/2010 16:00,,,,30.9,1004.9,,
01/02/2010 17:00,,,,,,,
01/02/2010 18:00,,,,30.2,1003.8,,
