DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
01/01/2010 00:00,,,,30.6,1018.9,,
01/01/2010 01:00,,,,30.6,1018.4,,
01/01/2010 02:00,,,,,,,
01/01/2010 03:00,,,,28.8,1017.2,,
01/01/2010 04:00,,,,27.9,1016.7,,
01/01/2010 05:00,,,,27.7,1015.7,,
01/01/2010 06:00,,,,27.9,1014.7,,
01/01/2010 07:00,,,,28.4,1014.7,,
01/01/2010 08:00,,,,,,,
01/01/2010 09:00,,,,28.2,1013.9,,
01/01/2010 10:00,,,,27.5,1013.5,,
01/01/2010 11:00,,,,27.3,1013.1,,
01/01/2010 12:00,,,,27.7,1013.0,,
01/01/2010 13:00,,,,,,,
01/01/2010 14:00,,,,29.1,1012.7,,
01/01/2010 15:00,,,,32.2,1012.4,,
01/01/2010 16:00,,,,31.1,1010.8,,
01/01/2010 17:00,,,,,1010.2,,
01/01/2010 18:00,,,,32.2,1009.7,,
01/01/2010 19:00,,,,32.9,1009.4,,
01/01/2010 20:00,,,,34.0,1009.1,,
01/01/2010 21:00,,,,33.8,1008.7,,
01/01/2010 22:00,,,,33.3,1008.5,,
01/01/2010 23:00,,,,33.1,1008.2,,
01/02/2010 00:00,,,,33.4,1007.4,,
01/02/2010 01:00,,,,33.4,1006.5,,
01/02/2010 02:00,,,,33.3,1005.5,,
01/02/2010 03:00,,,,32.7,1005.1,,
01/02/2010 04:00,,,,30.9,1004.0,,
01/02/2010 05:00,,,,30.4,1003.1,,
01/02/2010 06:00,,,,29.5,1002.5,,
01/02/2010 07:00,,,,28.9,1002.8,,
01/02/2010 08:00,,,,28.0,1002.4,,
01/02/2010 09:00,,,,27.5,1001.8,,
01/02/2010 10:00,,,,26.2,1001.3,,
01/02/2010 11:00,,,,26.4,1001.0,,
01/02/2010 12:00,,,,26.1,1000.6,,
01/02/2010 13:00,,,,,,,
01/02/2010 14:00,,,,27.0,999.8,,
01/02/2010 15:00,,,,27.1,999.7,,
01/02/2010 16:00,,,,27.3,998.6,,
01/02/2010 17:00,,,,,,,
01/02/2010 18:00,,,,,,,
01/02/2010 19:00,,,,29.1,996.2,,
01/02/2010 20:00,,,,28.8,995.8,,
01/02/2010 21:00,,,,28.9,995.4,,
01/02/2010 22:00,,,,29.1,994.5,,
01/02/2010 23:00,,,,27.3,994.5,,
01/03/2010 00:00,,,,25.7,993.7,,
01/03/2010 01:00,,,,25.2,992.6,,
01/03/2010 02:00,,,,,,,
01/03/2010 03:00,,,,,,,
01/03/2010 04:00,,,,23.9,989.1,,
01/03/2010 05:00,,,,22.5,988.2,,
01/03/2010 06:00,,,,20.7,987.4,,
01/03/2010 07:00,,,,19.6,986.9,,
01/03/2010 08:00,,,,19.0,986.3,,
01/03/2010 09:00,,,,19.0,985.5,,
01/03/2010 10:00,,,,18.3,985.0,,
01/03/2010 11:00,,,,18.3,984.9,,
01/03/2010 12:00,,,,18.1,985.4,,
01/03/2010 13:00,,,,18.3,985.5,,
01/03/2010 14:00,,,,19.2,985.9,,
01/03/2010 15:00,,,,20.8,986.4,,
01/03/2010 16:00,,,,21.7,986.1,,
01/03/2010 17:00,,,,25.3,985.6,,
01/03/2010 18:00,,,,,,,
01/03/2010 19:00,,,,28.9,986.8,,
01/03/2010 20:00,,,,27.9,988.0,,
01/03/2010 21:00,,,,28.0,988.9,,
01/03/2010 22:00,,,,28.4,990.0,,
01/03/2010 23:00,,,,28.4,990.7,,
01/04/2010 00:00,,,,28.4,991.3,,
