"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2012/01/01","00:00","0.574","-","-"
"2012/01/01","01:00","-1.32","-","-"
"2012/01/01","02:00","-3.111","-","-"
"2012/01/01","03:00","-4.089","-","-"
"2012/01/01","03:18","-","-","-3.7"
"2012/01/01","04:00","-3.814","-","-"
"2012/01/01","05:00","-2.673","-","-"
"2012/01/01","06:00","-1.119","-","-"
"2012/01/01","07:00","0.778","-","-"
"2012/01/01","08:00","2.663","-","-"
"2012/01/01","09:00","3.84","-","-"
"2012/01/01","09:42","-","-","4.13"
"2012/01/01","10:00","3.961","-","-"
"2012/01/01","11:00","3.163","-","-"
"2012/01/01","12:00","1.762","-","-"
"2012/01/01","13:00","0.015","-","-"
"2012/01/01","14:00","-1.868","-","-"
"2012/01/01","15:00","-3.337","-","-"
"2012/01/01","15:48","-","-","-3.71"
"2012/01/01","16:00","-3.719","-","-"
"2012/01/01","17:00","-3.059","-","-"
"2012/01/01","18:00","-1.878","-","-"
"2012/01/01","19:00","-0.328","-","-"
"2012/01/01","20:00","1.467","-","-"
"2012/01/01","21:00","2.894","-","-"
"2012/01/01","22:00","3.399","-","-"
"2012/01/01","22:06","-","-","3.68"
"2012/01/01","23:00","2.947","-","-"
"2012/01/02","00:00","1.814","-","-"
"2012/01/02","01:00","0.297","-","-"
"2012/01/02","02:00","-1.424","-","-"
"2012/01/02","03:00","-3.001","-","-"
"2012/01/02","04:00","-3.734","-","-"
"2012/01/02","04:06","-","-","-3.21"
"2012/01/02","05:00","-3.315","-","-"
"2012/01/02","06:00","-2.191","-","-"
"2012/01/02","07:00","-0.707","-","-"
"2012/01/02","08:00","1.112","-","-"
"2012/01/02","09:00","2.849","-","-"
"2012/01/02","10:00","3.832","-","-"
"2012/01/02","10:12","-","-","4.73"
"2012/01/02","11:00","3.805","-","-"
"2012/01/02","12:00","2.948","-","-"
"2012/01/02","13:00","1.565","-","-"
"2012/01/02","14:00","-0.138","-","-"
"2012/01/02","15:00","-1.96","-","-"
"2012/01/02","16:00","-3.316","-","-"
"2012/01/02","16:42","-","-","-3.07"
"2012/01/02","17:00","-3.602","-","-"
"2012/01/02","18:00","-2.97","-","-"
"2012/01/02","19:00","-1.879","-","-"
"2012/01/02","20:00","-0.38","-","-"
"2012/01/02","21:00","1.356","-","-"
"2012/01/02","22:00","2.677","-","-"
"2012/01/02","22:54","-","-","3.01"
"2012/01/02","23:00","3.095","-","-"
"2012/01/03","00:00","2.631","-","-"
"2012/01/03","01:00","1.56","-","-"
"2012/01/03","02:00","0.138","-","-"
"2012/01/03","03:00","-1.49","-","-"
"2012/01/03","04:00","-2.93","-","-"
"2012/01/03","05:00","-3.484","-","-3.63"
"2012/01/03","06:00","-2.967","-","-"
"2012/01/03","07:00","-1.851","-","-"
"2012/01/03","08:00","-0.379","-","-"
