DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
01/01/2010 00:00,3.50,22,4.86,,1019.0,,
01/01/2010 01:00,4.86,17,6.41,,1018.2,,
01/01/2010 02:00,,0,,,,,
01/01/2010 03:00,4.67,22,7.00,,1017.5,,
01/01/2010 04:00,3.50,17,5.25,,1016.8,,
01/01/2010 05:00,3.89,10,7.00,,1016.1,,
01/01/2010 06:00,6.22,18,8.16,,1015.6,,
01/01/2010 07:00,7.19,13,8.55,,1015.6,,
01/01/2010 08:00,5.64,15,7.58,,1015.5,,
01/01/2010 09:00,5.64,16,6.61,,1014.7,,
01/01/2010 10:00,5.64,13,7.58,,1014.3,,
01/01/2010 11:00,3.30,25,4.28,,1014.2,,
01/01/2010 12:00,4.28,12,7.00,,1014.3,,
01/01/2010 13:00,4.08,17,6.22,,1014.0,,
01/01/2010 14:00,5.25,14,7.39,,1014.0,,
01/01/2010 15:00,3.30,17,4.67,,1013.4,,
01/01/2010 16:00,0.97,36,2.53,,1012.4,,
01/01/2010 17:00,1.17,351,2.53,,1011.5,,
01/01/2010 18:00,1.17,4,3.89,,1010.7,,
01/01/2010 19:00,1.56,356,2.33,,1010.3,,
01/01/2010 20:00,2.14,357,3.69,,1009.9,,
01/01/2010 21:00,,0,,,1009.9,,
01/01/2010 22:00,4.67,16,6.41,,1008.8,,
01/01/2010 23:00,2.92,232,3.89,,1009.4,,
01/02/2010 00:00,0.39,340,1.56,,1008.6,,
01/02/2010 01:00,1.36,329,2.14,,1007.7,,
01/02/2010 02:00,1.75,4,2.14,,1006.9,,
01/02/2010 03:00,2.33,12,3.30,,1006.2,,
01/02/2010 04:00,2.92,1,3.69,,1005.2,,
01/02/2010 05:00,,0,,,,,
01/02/2010 06:00,4.28,356,7.19,,1003.6,,
01/02/2010 07:00,6.22,2,9.33,,1003.5,,
01/02/2010 08:00,6.41,1,9.52,,1003.1,,
01/02/2010 09:00,6.80,354,10.69,,1002.6,,
01/02/2010 10:00,5.05,358,7.39,,1002.3,,
01/02/2010 11:00,5.83,358,7.39,,1001.9,,
01/02/2010 12:00,8.75,3,11.27,,1001.3,,
01/02/2010 13:00,5.25,353,7.97,,1001.2,,
01/02/2010 14:00,5.25,1,9.72,,1001.3,,
01/02/2010 15:00,7.19,3,9.91,,1000.9,,
01/02/2010 16:00,,0,,,,,
01/02/2010 17:00,5.25,347,9.91,,999.1,,
01/02/2010 18:00,,0,,,998.6,,
01/02/2010 19:00,8.16,357,13.61,,998.3,,
01/02/2010 20:00,6.22,357,11.08,,998.5,,
01/02/2010 21:00,6.61,352,13.02,,998.9,,
01/02/2010 22:00,9.33,333,13.22,,999.2,,
01/02/2010 23:00,5.83,354,14.19,,999.2,,
01/03/2010 00:00,10.89,324,21.19,,999.2,,
01/03/2010 01:00,11.86,328,22.35,,998.5,,
01/03/2010 02:00,8.55,337,17.69,,998.6,,
01/03/2010 03:00,6.41,322,11.47,,998.2,,
01/03/2010 04:00,7.78,328,18.86,,997.3,,
01/03/2010 05:00,10.69,313,18.86,,995.8,,
01/03/2010 06:00,9.52,327,15.55,,995.1,,
01/03/2010 07:00,8.16,324,23.52,,994.6,,
01/03/2010 08:00,10.89,311,16.72,,994.2,,
01/03/2010 09:00,4.08,315,17.69,,993.0,,
01/03/2010 10:00,12.83,319,18.08,,992.4,,
01/03/2010 11:00,12.05,323,24.49,,992.1,,
01/03/2010 12:00,,0,,,,,
01/03/2010 13:00,6.80,330,16.33,,992.2,,
01/03/2010 14:00,7.39,346,14.38,,992.4,,
01/03/2010 15:00,10.30,325,20.02,,992.6,,
01/03/2010 16:00,7.58,343,18.08,,992.1,,
01/03/2010 17:00,8.94,329,18.08,,991.8,,
01/03/2010 18:00,7.19,344,14.77,,991.5,,
01/03/2010 19:00,8.94,345,15.55,,992.0,,
01/03/2010 20:00,7.97,343,13.41,,992.9,,
01/03/2010 21:00,,0,,,,,
01/03/2010 22:00,11.08,359,16.72,,995.0,,
01/03/2010 23:00,,0,,,,,
01/04/2010 00:00,6.41,352,13.22,,996.4,,
01/04/2010 01:00,5.83,341,10.30,,996.9,,
01/04/2010 02:00,8.75,355,13.02,,997.1,,
01/04/2010 03:00,7.19,355,13.41,,997.9,,
01/04/2010 04:00,7.00,339,9.33,,998.2,,
01/04/2010 05:00,7.78,358,12.25,,998.4,,
01/04/2010 06:00,7.00,355,10.50,,999.1,,
01/04/2010 07:00,4.28,348,8.75,,999.7,,
01/04/2010 08:00,4.86,339,11.08,,1000.1,,
01/04/2010 09:00,5.05,339,8.75,,1000.5,,
01/04/2010 10:00,4.08,340,6.22,,1001.1,,
01/04/2010 11:00,4.08,352,7.19,,1001.6,,
01/04/2010 12:00,2.92,338,6.03,,1002.3,,
01/04/2010 13:00,4.86,333,7.00,,1002.8,,
01/04/2010 14:00,3.89,329,9.52,,1003.1,,
01/04/2010 15:00,5.83,346,11.66,,1003.2,,
