DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
01/01/2012 00:00,7.96,16,14.05,42.3,1010.8,,
01/01/2012 01:00,6.53,18,9.05,42.4,1011.2,,
01/01/2012 02:00,5.99,342,7.94,42.2,1011.8,,
01/01/2012 03:00,5.46,25,6.64,42.0,1012.3,,
01/01/2012 04:00,6.04,327,7.93,42.3,1013.3,,
01/01/2012 05:00,3.47,360,5.06,42.2,1013.4,,
01/01/2012 06:00,2.35,9,4.97,42.2,1013.6,,
01/01/2012 07:00,5.84,333,10.05,43.3,1014.6,,
01/01/2012 08:00,11.13,315,14.47,43.2,1015.4,,
01/01/2012 09:00,4.28,330,6.77,43.1,1015.6,,
01/01/2012 10:00,3.41,318,5.43,42.5,1016.1,,
01/01/2012 11:00,2.86,7,4.24,42.0,1016.8,,
01/01/2012 12:00,0.50,6,1.25,41.1,1017.5,,
01/01/2012 13:00,2.59,294,3.65,41.6,1017.9,,
01/01/2012 14:00,5.14,249,6.30,42.8,1018.9,,
01/01/2012 15:00,3.46,307,5.23,46.0,1018.8,,
01/01/2012 16:00,3.88,293,7.74,47.5,1017.7,,
01/01/2012 17:00,4.45,226,6.12,49.3,1016.4,,
01/01/2012 18:00,8.36,223,10.68,49.3,1015.1,,
01/01/2012 19:00,10.70,239,13.53,47.5,1014.4,,
01/01/2012 20:00,9.36,237,12.19,47.9,1014.4,,
01/01/2012 21:00,10.94,214,13.34,48.7,1013.0,,
01/01/2012 22:00,12.42,224,15.78,48.6,1012.3,,
01/01/2012 23:00,13.92,232,15.89,48.6,1011.9,,
01/02/2012 00:00,13.92,228,16.90,49.1,1010.9,,
01/02/2012 01:00,14.10,201,18.06,49.7,1008.9,,
01/02/2012 02:00,13.37,209,15.70,51.0,1008.3,,
01/02/2012 03:00,17.62,217,20.85,51.5,1007.5,,
01/02/2012 04:00,19.54,245,24.78,51.6,1006.2,,
01/02/2012 05:00,13.14,235,16.63,51.7,1004.0,,
01/02/2012 06:00,8.97,253,10.33,50.9,1002.6,,
01/02/2012 07:00,12.34,265,18.04,51.8,1002.1,,
01/02/2012 08:00,10.56,284,16.11,50.9,1001.6,,
01/02/2012 09:00,10.44,267,14.10,49.4,1001.4,,
01/02/2012 10:00,12.73,276,15.95,47.7,1001.6,,
01/02/2012 11:00,14.19,293,19.86,46.3,1001.9,,
01/02/2012 12:00,8.21,291,18.42,44.1,1003.2,,
01/02/2012 13:00,9.42,281,13.96,43.0,1003.4,,
01/02/2012 14:00,11.10,288,19.69,42.4,1003.8,,
01/02/2012 15:00,10.06,290,18.95,41.9,1003.9,,
01/02/2012 16:00,10.07,291,18.58,42.3,1003.3,,
01/02/2012 17:00,10.53,286,21.48,42.0,1003.0,,
01/02/2012 18:00,14.96,298,16.61,41.5,1002.8,,
01/02/2012 19:00,9.19,298,13.80,42.5,1002.9,,
01/02/2012 20:00,12.03,323,17.81,41.8,1003.5,,
