DATE,RINEWP5URN
2010-01-01,12.3
2010-02-01,11.9
2010-03-01,11.6
2010-04-01,9.5
2010-05-01,9.1
2010-06-01,8.8
2010-07-01,9.3
2010-08-01,9.2
2010-09-01,8.7
2010-10-01,9.0
2010-11-01,9.7
2010-12-01,10.4
2011-01-01,12.9
2011-02-01,12.3
2011-03-01,11.6
2011-04-01,9.7
2011-05-01,9.2
2011-06-01,8.7
2011-07-01,8.9
2011-08-01,9.0
2011-09-01,8.4
2011-10-01,8.9
2011-11-01,10.0
2011-12-01,10.8
2012-01-01,13.1
2012-02-01,12.2
2012-03-01,11.1
2012-04-01,9.3
2012-05-01,8.3
2012-06-01,7.8
2012-07-01,8.4
2012-08-01,8.4
2012-09-01,7.6
2012-10-01,7.9
2012-11-01,8.6
2012-12-01,8.7
2013-01-01,11.0
2013-02-01,10.4
2013-03-01,9.6
2013-04-01,8.3
2013-05-01,7.5
2013-06-01,7.3
2013-07-01,7.8
2013-08-01,8.0
2013-09-01,7.3
2013-10-01,7.7
2013-11-01,8.5
2013-12-01,8.5
2014-01-01,10.2
2014-02-01,9.6
2014-03-01,8.8
2014-04-01,7.2
2014-05-01,6.4
2014-06-01,5.8
2014-07-01,6.1
2014-08-01,6.0
2014-09-01,5.5
2014-10-01,5.3
2014-11-01,5.8
2014-12-01,5.9
2015-01-01,8.0
2015-02-01,7.4
2015-03-01,6.8
2015-04-01,5.3
2015-05-01,4.9
2015-06-01,4.7
2015-07-01,5.0
2015-08-01,4.7
2015-09-01,4.2
2015-10-01,4.3
2015-11-01,4.9
2015-12-01,4.9
