DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
01/01/2010 00:00,4.28,52,6.03,39.7,1017.3,,
01/01/2010 01:00,4.47,3,5.44,39.0,1017.7,,
01/01/2010 02:00,,0,,,,,
01/01/2010 03:00,4.08,347,4.67,38.5,1017.0,,
01/01/2010 04:00,3.89,1,4.86,37.9,1016.8,,
01/01/2010 05:00,2.53,12,3.69,37.9,1016.0,,
01/01/2010 06:00,3.69,3,4.86,38.1,1015.1,,
01/01/2010 07:00,2.53,320,3.11,38.3,1015.2,,
01/01/2010 08:00,2.72,325,3.50,38.7,1015.2,,
01/01/2010 09:00,3.30,337,4.08,38.5,1014.5,,
01/01/2010 10:00,6.41,331,7.58,38.5,1014.4,,
01/01/2010 11:00,5.83,324,6.80,37.8,1014.8,,
01/01/2010 12:00,8.75,348,10.11,37.2,1014.3,,
01/01/2010 13:00,6.41,331,8.55,36.9,1014.4,,
01/01/2010 14:00,6.41,327,7.58,36.9,1014.5,,
01/01/2010 15:00,,0,,,,,
01/01/2010 16:00,6.41,338,7.97,37.4,1014.0,,
01/01/2010 17:00,6.03,333,8.16,38.5,1012.8,,
01/01/2010 18:00,,0,,,,,
01/01/2010 19:00,8.36,322,11.08,39.6,1012.0,,
01/01/2010 20:00,9.33,336,12.83,40.1,1011.5,,
01/01/2010 21:00,9.91,328,12.05,40.6,1011.5,,
01/01/2010 22:00,7.39,326,10.11,40.3,1011.3,,
01/01/2010 23:00,6.80,322,9.72,40.1,1011.6,,
01/02/2010 00:00,7.00,318,8.36,39.7,1011.0,,
01/02/2010 01:00,5.44,301,7.19,39.0,1010.8,,
01/02/2010 02:00,12.44,314,16.13,38.8,1010.2,,
01/02/2010 03:00,17.49,331,22.94,38.1,1010.0,,
01/02/2010 04:00,16.91,319,22.74,35.4,1010.0,,
01/02/2010 05:00,14.58,316,21.19,33.6,1009.8,,
01/02/2010 06:00,14.38,314,18.86,,1009.6,,
01/02/2010 07:00,13.41,309,18.27,30.7,1010.1,,
01/02/2010 08:00,14.77,318,18.08,30.6,1010.3,,
01/02/2010 09:00,12.63,309,14.97,29.8,1010.0,,
01/02/2010 10:00,14.19,305,16.91,29.1,1009.9,,
01/02/2010 11:00,14.38,310,19.44,28.8,1009.7,,
01/02/2010 12:00,16.13,301,21.38,28.4,1009.5,,
01/02/2010 13:00,14.58,305,19.24,28.9,1009.4,,
01/02/2010 14:00,18.66,308,26.63,29.3,1009.5,,
01/02/2010 15:00,18.86,311,30.71,30.0,1009.6,,
01/02/2010 16:00,20.80,299,29.16,30.2,1008.7,,
