DATE,PORT723URN
2010-01-01,7.7
2010-02-01,7.9
2010-03-01,7.7
2010-04-01,7.0
2010-05-01,6.8
2010-06-01,6.7
2010-07-01,6.7
2010-08-01,6.0
2010-09-01,6.2
2010-10-01,6.1
2010-11-01,6.5
2010-12-01,6.4
2011-01-01,7.4
2011-02-01,7.6
2011-03-01,7.3
2011-04-01,6.8
2011-05-01,6.5
2011-06-01,6.4
2011-07-01,6.2
2011-08-01,5.7
2011-09-01,5.9
2011-10-01,5.9
2011-11-01,6.2
2011-12-01,6.1
2012-01-01,7.0
2012-02-01,7.2
2012-03-01,7.1
2012-04-01,6.4
2012-05-01,6.2
2012-06-01,6.1
2012-07-01,6.0
2012-08-01,5.4
2012-09-01,5.5
2012-10-01,5.5
2012-11-01,5.7
2012-12-01,5.8
2013-01-01,6.8
2013-02-01,6.7
2013-03-01,6.4
2013-04-01,5.8
2013-05-01,5.6
2013-06-01,5.4
2013-07-01,5.3
2013-08-01,4.8
2013-09-01,4.9
2013-10-01,4.8
2013-11-01,5.1
2013-12-01,4.8
2014-01-01,5.6
2014-02-01,5.7
2014-03-01,5.5
2014-04-01,4.9
2014-05-01,4.6
2014-06-01,4.4
2014-07-01,4.3
2014-08-01,3.9
2014-09-01,3.9
2014-10-01,3.9
2014-11-01,4.1
2014-12-01,3.9
2015-01-01,4.5
2015-02-01,4.5
2015-03-01,4.3
2015-04-01,3.7
2015-05-01,3.6
2015-06-01,3.5
2015-07-01,3.3
2015-08-01,2.9
2015-09-01,2.9
2015-10-01,2.9
2015-11-01,3.1
2015-12-01,2.9
