DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
01/01/2010 00:00,2.81,59,4.11,30.4,1019.2,,
01/01/2010 01:00,4.03,48,5.97,30.4,1018.3,,
01/01/2010 02:00,4.86,20,7.58,30.4,1017.8,,
01/01/2010 03:00,3.48,24,5.37,30.5,1017.1,,
01/01/2010 04:00,4.67,46,7.39,30.6,1016.4,,
01/01/2010 05:00,4.86,29,7.19,29.8,1015.8,,
01/01/2010 06:00,3.50,24,6.03,29.7,1015.1,,
01/01/2010 07:00,5.25,15,7.00,28.9,1015.2,,
01/01/2010 08:00,4.86,41,7.78,28.8,1014.9,,
01/01/2010 09:00,7.53,35,9.60,28.5,1014.3,,
01/01/2010 10:00,6.05,21,7.73,28.3,1014.0,,
01/01/2010 11:00,6.35,6,7.53,28.1,1013.9,,
01/01/2010 12:00,4.00,22,6.47,28.3,1013.9,,
01/01/2010 13:00,3.78,4,5.24,28.1,1013.3,,
01/01/2010 14:00,4.73,19,6.14,29.1,1013.6,,
01/01/2010 15:00,3.89,12,5.44,31.5,1012.6,,
01/01/2010 16:00,3.91,19,6.17,33.8,1011.5,,
01/01/2010 17:00,3.73,7,5.92,34.8,1010.7,,
01/01/2010 18:00,1.57,86,2.09,35.4,1010.1,,
01/01/2010 19:00,3.00,87,4.21,35.7,1009.5,,
01/01/2010 20:00,4.24,63,5.62,35.6,1009.5,,
01/01/2010 21:00,4.70,48,7.98,35.4,1009.2,,
01/01/2010 22:00,4.79,17,7.08,35.1,1009.0,,
01/01/2010 23:00,6.19,39,9.07,35.0,1008.5,,
01/02/2010 00:00,6.80,39,9.78,34.4,1007.6,,
01/02/2010 01:00,5.82,37,8.26,33.9,1007.0,,
01/02/2010 02:00,7.18,42,10.55,33.5,1006.1,,
01/02/2010 03:00,5.66,20,8.25,33.3,1005.5,,
01/02/2010 04:00,5.36,26,9.26,33.2,1004.5,,
01/02/2010 05:00,6.61,42,10.74,33.0,1003.4,,
01/02/2010 06:00,8.54,33,14.27,32.6,1002.7,,
01/02/2010 07:00,10.72,26,15.18,31.6,1002.6,,
01/02/2010 08:00,8.76,28,12.43,30.6,1002.3,,
01/02/2010 09:00,,0,,,,,
01/02/2010 10:00,9.32,28,15.15,28.5,1001.3,,
01/02/2010 11:00,9.73,15,13.37,28.5,1001.1,,
01/02/2010 12:00,12.34,15,18.65,28.1,1000.7,,
01/02/2010 13:00,9.69,20,13.51,27.4,1000.3,,
01/02/2010 14:00,8.12,25,13.64,28.0,1000.1,,
01/02/2010 15:00,9.15,23,13.40,28.3,999.8,,
01/02/2010 16:00,6.70,29,10.39,28.6,999.0,,
01/02/2010 17:00,8.45,24,13.21,29.8,998.0,,
01/02/2010 18:00,10.44,27,15.29,30.3,997.1,,
01/02/2010 19:00,8.51,19,12.86,30.1,996.7,,
01/02/2010 20:00,5.60,42,9.19,30.2,996.6,,
01/02/2010 21:00,5.07,6,7.98,30.5,996.3,,
01/02/2010 22:00,13.95,5,19.15,29.6,995.9,,
01/02/2010 23:00,10.70,349,13.61,27.1,995.8,,
01/03/2010 00:00,10.64,1,16.40,25.3,995.6,,
01/03/2010 01:00,15.94,353,20.60,25.5,994.9,,
01/03/2010 02:00,12.93,353,18.19,23.3,994.2,,
01/03/2010 03:00,13.80,348,19.24,21.6,993.6,,
01/03/2010 04:00,18.28,340,24.57,20.7,992.4,,
01/03/2010 05:00,16.92,343,23.76,19.1,991.3,,
01/03/2010 06:00,15.02,341,21.78,18.0,990.9,,
01/03/2010 07:00,16.79,335,24.39,16.8,990.4,,
01/03/2010 08:00,20.07,339,25.80,16.5,989.6,,
01/03/2010 09:00,14.27,329,24.21,16.3,989.2,,
01/03/2010 10:00,16.47,343,23.14,15.9,988.5,,
01/03/2010 11:00,7.77,348,12.47,16.0,988.3,,
01/03/2010 12:00,15.06,341,24.70,14.9,988.6,,
01/03/2010 13:00,12.97,344,17.99,14.9,988.6,,
01/03/2010 14:00,9.95,348,13.75,14.9,988.7,,
01/03/2010 15:00,13.32,348,22.86,16.6,989.0,,
01/03/2010 16:00,12.37,355,20.45,17.1,988.9,,
01/03/2010 17:00,13.61,359,22.00,17.9,988.1,,
01/03/2010 18:00,16.08,1,22.61,21.1,987.8,,
01/03/2010 19:00,16.70,358,21.50,24.7,988.6,,
01/03/2010 20:00,18.23,1,23.03,25.2,989.6,,
01/03/2010 21:00,14.52,7,18.25,24.5,990.8,,
01/03/2010 22:00,10.98,348,14.60,22.3,991.9,,
01/03/2010 23:00,13.11,352,18.10,21.8,992.6,,
01/04/2010 00:00,14.09,1,19.43,22.7,993.1,,
01/04/2010 01:00,12.25,356,15.94,23.2,993.7,,
01/04/2010 02:00,11.33,357,15.36,24.1,994.0,,
01/04/2010 03:00,13.89,358,17.97,24.6,994.6,,
01/04/2010 04:00,14.77,2,22.74,26.1,995.1,,
01/04/2010 05:00,12.44,356,17.69,26.4,995.5,,
01/04/2010 06:00,13.61,355,19.63,25.9,996.2,,
01/04/2010 07:00,10.19,360,13.96,25.6,997.0,,
01/04/2010 08:00,14.36,351,21.07,25.5,996.9,,
01/04/2010 09:00,10.78,355,15.28,25.0,997.2,,
01/04/2010 10:00,10.88,2,15.86,23.9,998.2,,
01/04/2010 11:00,13.60,357,18.46,24.6,998.6,,
01/04/2010 12:00,13.65,356,19.24,24.7,999.1,,
01/04/2010 13:00,15.44,354,20.79,23.9,999.5,,
01/04/2010 14:00,11.00,350,18.56,25.3,1000.2,,
01/04/2010 15:00,10.50,359,14.38,27.3,1000.5,,
01/04/2010 16:00,8.16,353,13.31,29.7,1000.4,,
01/04/2010 17:00,13.04,360,18.23,31.0,999.8,,
01/04/2010 18:00,7.82,11,12.00,32.4,999.5,,
01/04/2010 19:00,10.89,338,14.38,33.6,999.7,,
01/04/2010 20:00,10.43,358,13.95,33.3,1000.2,,
01/04/2010 21:00,9.08,340,13.42,32.7,1000.7,,
01/04/2010 22:00,6.58,329,9.57,30.9,1001.1,,
01/04/2010 23:00,8.75,356,12.44,29.8,1001.7,,
01/05/2010 00:00,7.75,358,10.28,28.2,1002.3,,
01/05/2010 01:00,8.36,3,13.41,26.4,1002.6,,
01/05/2010 02:00,8.36,356,10.50,25.7,1002.9,,
01/05/2010 03:00,6.41,359,10.89,23.9,1002.9,,
01/05/2010 04:00,5.64,334,7.80,22.9,1003.0,,
01/05/2010 05:00,4.68,355,6.49,21.9,1002.7,,
01/05/2010 06:00,5.44,325,7.58,21.0,1002.7,,
01/05/2010 07:00,3.87,327,5.68,20.8,1002.9,,
01/05/2010 08:00,5.57,325,6.73,20.8,1003.0,,
01/05/2010 09:00,6.10,339,8.93,22.3,1002.7,,
01/05/2010 10:00,4.34,340,7.83,23.4,1002.8,,
01/05/2010 11:00,6.23,340,7.72,23.8,1002.8,,
01/05/2010 12:00,6.16,336,8.50,24.1,1003.0,,
01/05/2010 13:00,5.18,316,7.77,24.5,1003.2,,
01/05/2010 14:00,7.98,2,10.83,25.4,1003.2,,
01/05/2010 15:00,8.27,358,11.70,26.6,1003.2,,
01/05/2010 16:00,4.13,353,7.94,28.1,1002.8,,
01/05/2010 17:00,4.58,8,8.41,29.8,1001.9,,
01/05/2010 18:00,8.66,333,10.94,29.6,1001.3,,
01/05/2010 19:00,5.26,346,7.65,30.0,1001.1,,
01/05/2010 20:00,6.38,5,10.33,30.0,1001.1,,
01/05/2010 21:00,6.27,332,9.17,29.7,1001.2,,
01/05/2010 22:00,4.19,332,6.80,29.3,1001.1,,
01/05/2010 23:00,8.29,340,11.33,28.5,1001.2,,
01/06/2010 00:00,7.39,332,10.30,27.7,1001.7,,
01/06/2010 01:00,7.97,5,12.83,27.7,1001.7,,
01/06/2010 02:00,9.14,356,13.22,27.7,1001.7,,
01/06/2010 03:00,9.17,5,14.92,27.9,1001.7,,
01/06/2010 04:00,6.80,7,10.89,27.7,1001.8,,
01/06/2010 05:00,9.72,360,12.05,27.1,1001.6,,
01/06/2010 06:00,10.85,354,15.03,26.4,1001.7,,
01/06/2010 07:00,6.08,4,10.32,26.1,1001.9,,
01/06/2010 08:00,8.04,6,10.77,25.7,1002.2,,
01/06/2010 09:00,6.48,355,9.02,24.9,1002.2,,
01/06/2010 10:00,4.85,332,6.79,23.2,1002.2,,
01/06/2010 11:00,2.95,333,4.69,22.3,1002.3,,
01/06/2010 12:00,5.92,349,9.01,23.2,1002.5,,
01/06/2010 13:00,6.67,328,9.93,24.6,1002.9,,
01/06/2010 14:00,8.88,335,13.28,25.5,1003.2,,
01/06/2010 15:00,9.20,9,12.77,26.6,1003.1,,
01/06/2010 16:00,9.96,2,13.17,28.1,1002.4,,
01/06/2010 17:00,7.77,6,10.84,29.9,1001.6,,
01/06/2010 18:00,9.90,340,14.87,32.0,1000.7,,
01/06/2010 19:00,9.52,341,13.22,33.1,1000.9,,
01/06/2010 20:00,12.83,6,16.13,32.4,1001.1,,
01/06/2010 21:00,9.52,3,14.97,31.1,1001.6,,
01/06/2010 22:00,10.50,352,15.16,29.3,1001.8,,
01/06/2010 23:00,10.50,350,14.97,27.5,1002.5,,
01/07/2010 00:00,9.52,346,13.80,26.4,1002.8,,
01/07/2010 01:00,4.86,327,8.16,25.3,1002.9,,
01/07/2010 02:00,,0,,,,,
01/07/2010 03:00,8.75,333,10.69,24.8,1003.5,,
01/07/2010 04:00,5.83,352,11.47,25.9,1003.8,,
01/07/2010 05:00,7.39,342,10.11,26.2,1003.6,,
01/07/2010 06:00,5.83,355,9.72,26.6,1003.5,,
01/07/2010 07:00,9.14,358,12.05,26.6,1004.2,,
01/07/2010 08:00,7.58,10,9.52,25.9,1004.6,,
01/07/2010 09:00,7.19,10,9.33,25.9,1004.7,,
01/07/2010 10:00,,0,,,,,
01/07/2010 11:00,4.86,6,7.78,26.1,1005.8,,
01/07/2010 12:00,5.64,353,8.94,26.1,1006.7,,
01/07/2010 13:00,9.14,359,12.83,27.5,1007.4,,
01/07/2010 14:00,8.16,1,11.66,29.3,1007.7,,
01/07/2010 15:00,10.11,359,15.94,,1008.2,,
01/07/2010 16:00,10.11,345,12.83,35.2,1007.7,,
01/07/2010 17:00,10.69,359,16.13,36.9,1007.2,,
01/07/2010 18:00,8.75,344,13.80,39.2,1006.9,,
01/07/2010 19:00,15.94,359,22.55,40.3,1006.8,,
01/07/2010 20:00,17.11,356,21.38,40.1,1007.1,,
01/07/2010 21:00,7.58,4,10.89,38.7,1007.7,,
01/07/2010 22:00,7.78,327,12.25,36.1,1008.2,,
01/07/2010 23:00,6.22,326,10.50,34.3,1008.8,,
01/08/2010 00:00,7.19,313,11.27,32.7,1009.0,,
01/08/2010 01:00,7.97,321,10.11,31.3,1009.1,,
01/08/2010 02:00,5.05,335,8.36,30.9,1008.9,,
01/08/2010 03:00,6.22,6,9.14,30.4,1009.0,,
01/08/2010 04:00,3.89,290,5.25,29.1,1009.1,,
01/08/2010 05:00,2.33,274,2.72,28.8,1008.9,,
01/08/2010 06:00,3.50,310,5.05,28.9,1008.9,,
01/08/2010 07:00,5.64,330,7.97,28.8,1008.8,,
01/08/2010 08:00,3.89,7,5.64,27.7,1008.2,,
01/08/2010 09:00,,0,,,,,
01/08/2010 10:00,3.30,294,4.47,26.4,1007.6,,
01/08/2010 11:00,3.50,286,3.89,26.8,1007.5,,
01/08/2010 12:00,4.47,21,7.39,27.7,1006.9,,
01/08/2010 13:00,2.72,12,3.50,27.1,1007.0,,
01/08/2010 14:00,4.28,34,5.83,26.6,1006.7,,
01/08/2010 15:00,4.47,27,6.80,27.1,1006.2,,
01/08/2010 16:00,4.86,41,7.78,28.0,1005.0,,
01/08/2010 17:00,,0,,,,,
01/08/2010 18:00,3.30,15,6.03,29.7,1003.5,,
01/08/2010 19:00,3.69,336,7.00,29.1,1003.2,,
01/08/2010 20:00,7.39,9,10.11,28.4,1003.1,,
01/08/2010 21:00,5.25,5,7.97,28.2,1003.5,,
01/08/2010 22:00,5.64,5,9.14,28.0,1004.2,,
01/08/2010 23:00,7.78,15,10.69,27.1,1005.0,,
01/09/2010 00:00,12.44,10,17.11,24.8,1005.8,,
01/09/2010 01:00,7.00,11,11.08,23.2,1006.3,,
01/09/2010 02:00,6.22,7,8.55,22.8,1006.6,,
01/09/2010 03:00,9.33,1,12.83,22.3,1007.2,,
01/09/2010 04:00,8.36,359,12.25,21.6,1008.0,,
01/09/2010 05:00,,0,,,,,
01/09/2010 06:00,7.97,5,11.27,20.8,1008.7,,
01/09/2010 07:00,9.14,1,11.66,21.4,1009.4,,
01/09/2010 08:00,9.72,6,13.02,22.3,1010.1,,
01/09/2010 09:00,7.39,359,9.14,21.9,1010.5,,
01/09/2010 10:00,6.41,357,8.16,21.4,1011.1,,
01/09/2010 11:00,5.44,359,9.33,21.0,1011.8,,
01/09/2010 12:00,7.58,15,10.69,20.3,1012.8,,
01/09/2010 13:00,5.64,16,9.33,21.4,1013.7,,
01/09/2010 14:00,,0,,,,,
01/09/2010 15:00,,0,,,,,
01/09/2010 16:00,15.55,11,21.38,25.0,1014.2,,
01/09/2010 17:00,10.11,4,15.75,26.8,1014.1,,
01/09/2010 18:00,14.38,21,18.08,27.7,1013.7,,
01/09/2010 19:00,10.11,23,15.36,29.1,1014.1,,
01/09/2010 20:00,11.66,21,16.91,28.8,1014.6,,
01/09/2010 21:00,8.36,20,16.91,28.0,1015.2,,
01/09/2010 22:00,12.44,22,16.13,26.2,1015.9,,
01/09/2010 23:00,9.14,19,13.22,24.4,1016.9,,
01/10/2010 00:00,14.19,16,20.22,22.8,1017.6,,
01/10/2010 01:00,9.14,359,13.02,21.0,1018.0,,
01/10/2010 02:00,14.97,13,18.66,19.8,1018.4,,
01/10/2010 03:00,8.94,15,14.58,18.3,1019.4,,
01/10/2010 04:00,7.19,23,11.47,17.2,1019.8,,
