DATE,RIPROV7URN
2010-01-01,12.4
2010-02-01,12.2
2010-03-01,12.1
2010-04-01,11.7
2010-05-01,11.8
2010-06-01,11.6
2010-07-01,12.2
2010-08-01,12.0
2010-09-01,11.5
2010-10-01,11.3
2010-11-01,11.3
2010-12-01,11.3
2011-01-01,12.2
2011-02-01,11.9
2011-03-01,11.8
2011-04-01,11.3
2011-05-01,11.4
2011-06-01,11.3
2011-07-01,11.9
2011-08-01,11.8
2011-09-01,11.4
2011-10-01,11.5
2011-11-01,11.5
2011-12-01,11.4
2012-01-01,12.4
2012-02-01,12.1
2012-03-01,11.8
2012-04-01,10.9
2012-05-01,11.1
2012-06-01,11.0
2012-07-01,11.3
2012-08-01,10.9
2012-09-01,10.3
2012-10-01,10.1
2012-11-01,9.9
2012-12-01,9.6
2013-01-01,10.7
2013-02-01,10.4
2013-03-01,10.1
2013-04-01,9.5
2013-05-01,9.7
2013-06-01,9.7
2013-07-01,10.1
2013-08-01,9.9
2013-09-01,9.4
2013-10-01,9.3
2013-11-01,9.1
2013-12-01,9.0
2014-01-01,10.1
2014-02-01,9.6
2014-03-01,9.2
2014-04-01,8.3
2014-05-01,8.3
2014-06-01,8.1
2014-07-01,8.3
2014-08-01,8.0
2014-09-01,7.4
2014-10-01,7.0
2014-11-01,6.9
2014-12-01,6.6
2015-01-01,7.7
2015-02-01,7.3
2015-03-01,7.1
2015-04-01,6.3
2015-05-01,6.4
2015-06-01,6.3
2015-07-01,6.6
2015-08-01,6.3
2015-09-01,5.7
2015-10-01,5.6
2015-11-01,5.6
2015-12-01,5.4
